Row,Column,Value
0,0,11.520066
1,1,10.0
1,1847,3.5404449
1,2241,3.5227294
1,2980,3.525146
2,2,11.407994
2,400,3.7039983
2,424,4.1748657
2,716,11.563612
2,1648,3.7039983
2,1746,4.1910796
2,1801,3.7039979
2,2291,4.9189534
2,2512,3.7039979
2,2835,4.4079947
2,2842,3.7039979
3,3,11.557988
3,1276,3.6502693
4,4,9.999999
4,233,3.6248083
4,498,3.856401
4,667,3.7307696
4,3027,3.7384999
5,5,10.0
6,6,10.0
6,1067,3.9571996
6,2306,3.7536685
7,7,11.417455
7,50,4.466468
7,63,4.7087274
7,150,4.4664674
7,156,6.416453
7,235,6.2482667
7,254,4.490526
7,319,3.7087274
7,396,3.7087274
7,408,3.7087278
7,423,4.7087274
7,584,4.7087274
7,629,4.7087274
7,641,4.7087274
7,732,3.7087274
7,733,5.490526
7,793,4.7077255
7,850,4.4664674
7,911,4.7087274
7,969,5.7087274
7,980,3.7577403
7,1021,5.248266
7,1041,3.8762784
7,1075,5.4664674
7,1077,3.7087274
7,1081,4.490526
7,1108,4.7087274
7,1337,5.4905267
7,1413,4.4905267
7,1506,6.367533
7,1610,5.466468
7,1723,3.7087274
7,1896,6.4905267
7,1915,5.4905267
7,2038,3.7087274
7,2077,3.7087274
7,2115,5.7087274
7,2134,4.7087274
7,2155,6.2482667
7,2196,5.4664674
7,2226,5.490526
7,2227,4.7087274
7,2253,5.4905267
7,2329,4.7087274
7,2402,5.0493727
7,2426,3.7087278
7,2441,4.7087274
7,2476,6.7087274
7,2571,3.781799
7,2617,5.4905267
7,2635,4.7087274
7,2904,5.7087274
7,2910,4.913276
7,2931,4.7087274
7,2948,6.7087274
7,2951,6.248266
7,2981,4.7087274
7,2997,7.708728
8,8,11.714752
8,162,3.6014752
9,9,10.0
9,479,4.502459
9,1250,5.761494
9,1680,3.7412426
9,3032,6.7524714
10,10,11.5699215
10,37,4.58086
10,72,4.31925
10,890,3.5808604
10,1729,3.5808604
10,1886,3.5635242
11,11,13.346651
11,164,7.568718
11,322,7.568718
11,340,5.784359
11,345,12.346651
11,466,13.346651
11,501,6.784359
11,585,5.7843585
11,745,6.784359
11,759,6.784359
11,1114,8.188569
11,1120,7.568718
11,1165,4.7843585
11,1190,6.784359
11,1241,5.7843585
11,1300,6.784359
11,1401,3.7843585
11,1434,8.673326
11,1558,7.5065713
11,1623,6.784359
11,1686,7.568718
11,1691,4.568718
11,1706,6.784359
11,1844,10.4576845
11,1861,8.673326
11,1938,8.568718
11,2118,8.568718
11,2132,8.188569
11,2169,5.784359
11,2198,6.784359
11,2319,7.568718
11,2489,6.784359
11,2548,7.188569
11,2615,6.784359
11,2715,5.7843585
11,2895,6.784359
11,2906,6.784359
11,2939,5.7843585
11,2959,8.673326
11,2991,12.346651
11,3082,7.568718
11,3118,5.784359
12,12,11.45955
12,31,5.459551
12,59,4.45955
12,177,4.207796
12,324,4.268676
12,437,4.207796
12,521,5.258919
12,668,4.422353
12,727,4.2589192
12,790,4.45955
12,852,4.8861065
12,955,4.4595504
12,963,4.232528
12,978,4.207796
12,1074,5.2140584
12,1086,4.4595504
12,1133,4.906335
12,1168,4.4595504
12,1200,4.4595504
12,1213,4.4595504
12,1230,4.4595504
12,1257,4.2101893
12,1275,4.171022
12,1484,4.45955
12,1591,4.937986
12,1601,4.2589192
12,1677,5.013427
12,1819,6.227636
12,1997,4.4595504
12,2037,6.4608135
12,2096,6.0118046
12,2113,4.171022
12,2176,4.422353
12,2220,5.8360763
12,2290,4.1676173
12,2337,5.2077966
12,2378,5.035553
12,2413,5.45955
12,2432,4.4595504
12,2486,6.1710215
12,2938,4.2253685
12,2966,4.431583
12,3076,3.729775
13,13,9.999999
13,423,3.6083148
13,1108,3.5203006
13,1204,5.2152987
13,1506,3.8762782
13,1900,4.386027
13,1987,4.3280025
13,2077,3.7927344
13,2310,3.7019255
13,2476,3.7019258
13,2931,3.8026676
14,14,9.999999
14,233,4.532914
14,510,3.8083425
14,773,3.7048154
14,901,4.342263
14,1005,3.5518541
14,1259,4.762211
14,1773,4.2983165
14,1857,3.6487088
14,1895,4.0112066
14,3092,3.7142873
15,15,11.628566
15,481,3.8142831
15,936,5.5203705
15,937,3.5203705
15,1033,4.6285653
15,1217,4.534522
15,1264,5.334653
15,1503,3.520371
15,1689,3.814283
15,1715,4.5203705
15,2040,4.498738
15,2100,3.5203705
15,2164,3.6285653
15,2225,7.551509
15,2448,4.814283
15,2594,5.334654
15,3037,3.7060885
16,16,9.999999
17,17,11.712802
17,90,3.5946937
17,93,3.680965
17,232,3.6644266
17,233,3.740585
17,298,4.664744
17,667,3.6791317
17,700,3.7027576
17,716,4.145718
17,903,4.81731
17,993,3.5201488
17,1104,3.664744
17,1196,3.9481146
17,1237,3.682564
17,1728,3.852675
17,1813,4.748219
17,1900,4.8117075
17,1969,3.6846948
17,2655,4.3969016
17,2691,3.71902
17,2725,3.5285816
17,2733,3.6644266
17,2772,4.435219
17,3096,3.6209936
17,3117,3.687346
18,18,12.849839
18,24,4.4505644
18,128,3.5678892
18,197,4.252245
18,221,3.724506
18,224,4.011695
18,287,4.278465
18,308,3.5141666
18,426,3.7245054
18,687,4.1494255
18,692,3.9912615
18,760,4.26223
18,777,3.5041814
18,837,3.5678887
18,1326,3.5678887
18,1417,3.7245057
18,1459,5.7260337
18,1675,3.5041819
18,1755,4.7245054
18,2053,4.712262
18,2375,4.4287586
18,2391,4.2833853
18,2575,3.724506
18,2628,4.461742
18,2654,3.724506
18,2704,4.0419054
18,2756,4.26223
18,2865,4.178808
18,2986,4.3576646
18,2992,4.7245054
18,3026,4.040672
18,3097,5.2784643
19,19,12.893373
19,319,4.2952266
19,507,4.4466863
19,523,4.199908
19,635,3.591415
19,862,4.4466863
19,1115,4.2652326
19,1234,4.235478
19,1743,8.167048
19,1846,5.00762
19,2086,4.263433
19,2163,6.994615
19,2342,4.446686
19,2394,4.4341335
19,2551,3.7437348
19,2566,4.201938
19,2691,4.446686
19,2903,4.455642
20,20,11.59206
21,21,10.0
22,22,10.000001
23,23,10.0
23,226,6.000001
23,505,6.000001
23,2836,6.000001
24,18,4.4505644
24,24,11.519342
24,93,4.4529934
24,110,5.449247
24,124,4.04385
24,128,4.604238
24,160,4.048658
24,182,3.8571565
24,202,3.966226
24,221,4.0
24,232,5.1893926
24,233,6.0309944
24,250,3.7596717
24,302,4.601961
24,317,4.6042385
24,327,7.5260706
24,329,4.0752583
24,331,6.4835405
24,332,3.8471067
24,375,4.648326
24,432,4.187022
24,435,6.304046
24,443,4.5705953
24,473,4.145069
24,494,4.2001
24,500,3.60087
24,509,5.029311
24,566,5.397929
24,569,4.634871
24,570,4.909462
24,622,5.653484
24,656,5.1558356
24,667,6.2051725
24,687,5.776012
24,692,3.9501128
24,693,4.497447
24,777,7.070603
24,787,5.758412
24,826,4.5379596
24,828,3.5453248
24,837,5.6453395
24,899,3.8227868
24,903,3.7449725
24,929,3.7554939
24,941,4.4715896
24,943,3.5193434
24,947,4.157352
24,957,4.460215
24,989,3.7695742
24,1008,4.3590584
24,1047,3.921501
24,1058,4.5325937
24,1062,4.705599
24,1098,3.5193434
24,1103,3.5918539
24,1148,4.0534854
24,1167,4.794475
24,1193,3.8227868
24,1196,3.7500694
24,1205,6.536135
24,1215,3.7132225
24,1219,6.539347
24,1226,3.7449725
24,1237,3.8309233
24,1259,4.5815988
24,1296,6.973916
24,1312,3.5918539
24,1377,5.3032136
24,1386,4.2385793
24,1387,4.844576
24,1435,4.909462
24,1449,4.7152996
24,1455,4.2403374
24,1516,4.9207873
24,1549,4.0981684
24,1554,4.3839145
24,1576,5.2681375
24,1579,3.7801223
24,1591,3.5193434
24,1601,3.6224978
24,1650,4.131648
24,1672,4.0411015
24,1675,3.5597982
24,1707,3.8093574
24,1748,3.769867
24,1754,3.7421339
24,1755,5.351526
24,1757,6.7742677
24,1781,3.6042385
24,1790,5.790907
24,1796,4.281342
24,1802,3.716333
24,1857,4.753928
24,1878,3.7138076
24,1901,5.24663
24,1946,4.0086727
24,1969,6.271918
24,2001,4.9098835
24,2003,3.9934587
24,2040,3.591723
24,2081,3.8157496
24,2093,3.960672
24,2102,4.1558356
24,2167,4.136386
24,2176,3.6080892
24,2180,6.1967154
24,2267,5.909462
24,2274,3.6268332
24,2299,3.648399
24,2307,4.673789
24,2321,3.779676
24,2335,3.754709
24,2337,4.01411
24,2353,4.1004877
24,2386,3.996712
24,2391,4.55888
24,2418,3.7404327
24,2428,3.5911646
24,2430,3.8093574
24,2440,3.5084658
24,2461,3.7980318
24,2470,4.5109224
24,2521,6.287114
24,2562,4.384361
24,2575,4.1369953
24,2582,6.303213
24,2597,5.193794
24,2601,4.325447
24,2621,5.4011307
24,2661,4.265092
24,2668,3.5708356
24,2674,3.5918539
24,2725,4.0717645
24,2730,4.384361
24,2733,5.1893926
24,2772,6.9643607
24,2781,3.8269835
24,2783,3.7087646
24,2799,3.8293529
24,2837,5.513701
24,2865,4.187022
24,2871,7.492271
24,2879,4.1402683
24,2889,4.0122013
24,2917,4.776186
24,2921,4.5281715
24,2926,4.0
24,2968,3.7449725
24,2980,3.789522
24,2986,5.185788
24,2992,3.9342172
24,2994,4.363886
24,3004,3.950696
24,3010,6.0748963
24,3021,6.2281456
24,3027,4.1050425
24,3032,3.5045137
24,3042,3.9436986
24,3087,4.6442347
24,3096,3.6814556
24,3101,3.7821674
24,3117,5.930587
24,3162,6.2391396
25,25,10.0
26,26,11.541512
26,79,4.7167287
26,89,5.4726815
26,137,3.7707562
26,178,5.3619404
26,301,3.7707562
26,369,7.7707567
26,478,3.7147956
26,517,3.7019267
26,560,4.7707562
26,620,3.7707553
26,628,5.7707567
26,722,3.7707562
26,740,4.5723844
26,800,4.770756
26,833,4.472682
26,882,3.7707553
26,885,3.7707558
26,954,4.541511
26,1009,3.7707562
26,1011,5.34929
26,1127,3.7707558
26,1139,4.5415115
26,1166,3.7707558
26,1227,3.5386505
26,1254,5.5415106
26,1286,5.4726825
26,1343,5.541511
26,1460,3.7707558
26,1461,3.591185
26,1525,4.8026676
26,1590,5.2582393
26,1622,4.6473637
26,1632,4.7707562
26,1762,3.7707562
26,1764,5.7019267
26,1783,4.5075746
26,1784,4.770755
26,1799,4.8026676
26,1832,4.0000014
26,1858,4.5415115
26,1914,4.278329
26,1947,3.7707562
26,1976,3.7019258
26,1994,3.7707562
26,2014,3.5415108
26,2032,3.7707555
26,2075,3.5734224
26,2166,4.7707567
26,2189,3.7707558
26,2215,4.701926
26,2216,3.7019255
26,2300,5.8914514
26,2327,4.7707562
26,2379,3.7707558
26,2412,4.472682
26,2419,3.5075738
26,2481,3.5101612
26,2709,4.7707562
26,2778,3.8026679
26,2843,4.504594
26,2960,5.000001
26,3056,3.5415108
26,3084,3.7707558
26,3096,4.17442
27,27,11.520734
28,28,10.0
29,29,10.0
30,30,10.0
30,264,3.7430182
30,555,4.4196734
30,915,3.8048115
30,1551,3.7191892
30,1746,3.7039971
30,2291,4.226776
30,2395,4.546608
30,2399,3.803589
30,2786,3.7039974
30,3055,4.445862
30,3060,3.8035896
31,12,5.459551
31,31,11.459549
31,38,4.309167
31,59,4.309167
31,324,4.268676
31,521,6.043947
31,608,4.244579
31,727,4.2589192
31,819,4.431302
31,1048,4.45955
31,1074,5.459551
31,1083,4.222192
31,1117,4.4595504
31,1133,4.17115
31,1200,6.2445784
31,1230,4.4595504
31,1484,6.45955
31,1601,4.2589192
31,1677,4.2589192
31,2037,4.9728384
31,2096,5.4595504
31,2122,4.244579
31,2176,4.4595504
31,2199,4.1910954
31,2220,6.8360767
31,2240,4.4595504
31,2378,4.269735
31,2432,4.4595504
31,2486,4.4595504
31,2513,3.517024
31,2701,3.5003822
31,3058,3.579392
32,32,11.437967
33,33,11.616685
33,93,3.8403475
33,148,3.7121453
33,195,3.943973
33,217,4.052233
33,232,4.458728
33,233,6.0554028
33,289,3.960453
33,298,3.616686
33,302,4.7876406
33,306,3.5778959
33,327,4.090359
33,331,6.270299
33,332,4.9199033
33,376,3.7543852
33,390,3.6912193
33,435,3.7825413
33,443,4.1310406
33,547,3.7344763
33,566,4.1051598
33,594,4.7022057
33,667,5.2252316
33,700,3.8312378
33,709,4.016032
33,777,3.8749838
33,781,3.6166859
33,787,3.972962
33,826,3.8174226
33,837,4.918241
33,899,3.8175454
33,903,4.890128
33,971,3.953699
33,982,3.9439726
33,989,4.4742246
33,1008,4.282454
33,1182,3.7390976
33,1193,3.8175454
33,1205,3.7418578
33,1215,4.5406337
33,1237,3.7746186
33,1259,4.84094
33,1488,4.243916
33,1601,5.35779
33,1650,3.616686
33,1679,3.616686
33,1707,5.1896744
33,1728,3.5653439
33,1757,4.5664024
33,1773,4.099975
33,1857,5.197995
33,1900,4.8903246
33,1927,3.5102687
33,1969,4.478996
33,1987,3.8890085
33,2003,5.7668324
33,2040,5.0589905
33,2081,4.0491023
33,2093,3.9907665
33,2176,3.5983887
33,2274,3.5989137
33,2299,3.5874257
33,2300,3.55372
33,2335,4.705323
33,2430,5.1896744
33,2461,4.5163536
33,2470,3.7638283
